Table_7
0, 1981-08-22, 2, 23:31:30, 
0, 2, 2000-07-01, 23:31:30, 
0, 2, 2004-02-15, 23:31:30, 
0, 2, 2003-09-01, 23:31:30, 
0, 1994-02-17, 2, 23:31:30, 
0, 1978-12-13, 2, 23:31:30, 
0, 1980-08-31, 2, 23:31:30, 
0, 1990-11-02, 2, 23:31:30, 
0, 1963-12-19, 2, 23:31:30, 
0, 1997-04-07, 2, 23:31:30, 
0, 1980-01-21, 2, 23:31:30, 
0, 1975-10-15, 2, 23:31:30, 
0, 1963-01-03, 2, 23:31:30, 
0, 1994-04-08, 2, 23:31:30, 
0, 1985-01-22, 2, 23:31:30, 
0, 1974-05-18, 2, 23:31:30, 
0, 1961-01-01, 2, 23:31:30, 
0, 1968-06-15, 2, 23:31:30, 
0, 1987-04-15, 2, 23:31:30, 
0, 1999-06-12, 2, 23:31:30, 
0, 1989-01-18, 2, 23:31:30, 
0, 1977-10-24, 2, 23:31:30, 
0, 1982-10-14, 2, 23:31:30, 
0, 1996-10-31, 2, 23:31:30, 
0, 1991-10-08, 2, 23:31:30, 
0, 1998-07-30, 2, 23:31:30, 
0, 1964-06-26, 2, 23:31:30, 
0, 1990-07-19, 2, 23:31:30, 
0, 1964-10-13, 2, 23:31:30, 
0, 2, 2000-07-03, 23:31:30, 
0, 1972-12-30, 2, 23:31:30, 
0, 1969-04-14, 2, 23:31:30, 
0, 1988-06-30, 2, 23:31:30, 
0, 1998-06-22, 2, 23:31:30, 
0, 1978-10-19, 2, 23:31:30, 
0, 1983-12-19, 2, 23:31:30, 
0, 1996-02-22, 2, 23:31:30, 
0, 2, 2004-04-11, 23:31:30, 
0, 1992-01-08, 2, 23:31:30, 
0, 1988-10-07, 2, 23:31:30, 
0, 1969-10-24, 2, 23:31:30, 
0, 1996-06-21, 2, 23:31:30, 
0, 1972-11-30, 2, 23:31:30, 
0, 1958-12-08, 2, 23:31:30, 
0, 1984-04-12, 2, 23:31:30, 
0, 1961-04-28, 2, 23:31:30, 
Table_6
1, 1963-12-18, 1994-11-18, 23:31:30, 
1, 1970-05-29, 1997-06-06, 23:31:30, 
1, 1967-06-13, 1984-05-12, 23:31:30, 
1, 1980-08-17, 1988-02-07, 23:31:30, 
1, 1982-05-05, 1995-12-14, 23:31:30, 
1, 1963-10-02, 1990-04-09, 23:31:30, 
1, 1960-07-25, 2002-04-14, 23:31:30, 
1, 1972-12-20, 2001-10-08, 23:31:30, 
1, 1973-12-26, 1980-02-28, 23:31:30, 
1, 1963-07-23, 1970-01-24, 23:31:30, 
1, 1973-10-04, 1991-10-03, 23:31:30, 
